PreProcessing,dataset,TP,FP,FN,precision,recall,avg_pre_processing_time,avg_classification_time,avg_total_time,avg_level_weights,std_level_weights
BDA,BioID,-0.00328731097961865,-0.0736357659434582,0.00328731097961867,0.0590033339687175,-0.00328731097961865,2856735.27688418,-2.78746972983528,413.075997789867,-3.50447295495438,-9.79182953237707
BDA,SoF,-0.0642374154770848,-0.120210368144252,0.0642374154770849,0.0963674193055014,-0.0642374154770848,7737939.43725017,-19.388652024458,542.299534206036,-7.46033407786381,0.287984852769345
BDA,mit_cbcl,-0.0185,0.0005,0.0185,-0.000583837171735824,-0.0185,423853.220528682,-8.88803293678881,134.897587167138,-9.83886637039976,2.01964116501574
BDA,caltech,-0.0222222222222223,-0.302222222222222,0.0222222222222222,0.157346820561229,-0.0222222222222223,11574326.0631813,-17.5694561784427,334.85338092485,-1.64938366362912,-13.703125661123
BDA,yale,-0.0969696969696969,0,0.096969696969697,0,-0.0969696969696969,1965629.79638981,-23.4133067672264,354.923009121543,-7.68962732650518,52.7539761102085
BDA,orl,-0.035,-0.005,0.035,0.00531914893617025,-0.035,400587.99852299,-11.0431667228692,175.857605880961,-13.4841898210889,1.94833021492736
BDA,TotalFace,-0.0351486524034453,-0.0790497360377883,0.0351486524034454,0.0672448687832526,-0.0351486524034453,4954662.32064511,-16.1322054959217,443.857785948113,-7.21176264549391,-1.20973264551811
BDA,NonFace,0.0977443609022557,-0.186895810955961,0,0,0.13791725924651,2382651.05841172,-15.0100227264969,295.247601685661,-17.4921011452384,-5.94323555582211
bilateral,yale,0,0.0121212121212121,0,-0.0119760479041916,0,2418449.9973163,217.256602749025,682.702522492109,-1.35955095605201,-3.94624222537365
bilateral,caltech,0.00222222222222224,0.115555555555556,-0.00222222222222222,-0.045328829677055,0.00222222222222224,7054972.14757258,130.097584929134,344.907817758355,-1.02416025473559,8.14358055939648
bilateral,mit_cbcl,-0.0325,0,0.0325,-7.61971748433066E-05,-0.0325,223527.425340098,21.704867777342,97.524121175445,-11.5988934045801,5.04445742339733
bilateral,orl,0.00249999999999995,0.0025,-0.0025,-0.00261735900033766,0.00249999999999995,219757.615869073,38.7447216223582,141.255268327329,-2.47253151482375,-4.54503503601729
bilateral,BioID,-0.000657462195923664,-0.00986193293885601,0.000657462195923737,0.00740770321266693,-0.000657462195923664,1730819.37596598,126.897820250967,378.839636041742,6.0097377411771,-10.5464259405687
bilateral,SoF,-0.0056348610067618,-0.0191585274229902,0.00563486100676183,0.0139121025799906,-0.0056348610067618,3879404.07573552,88.1585770473354,369.752983317619,-0.626268294438297,0.674978410539766
